brand,detail,detail_desc,goods_desc,goods_id,goods_title,pl_id,scj_price,title,url,weight,zp_price
八桂凌云,凌云白毫绿茶,"规格：150g/袋,产地：广西百色,食品生产许可证：SC11445102700492,采摘季节：春季,储藏方法：干燥、通风、防异味,保质期：36个月,包装规格：长17.5cm*宽7.5cm*高29.5cm",办公家居 实惠自饮,8701410,八桂凌云 凌云白毫绿茶 神韵绿茶 2018年春茶 150g,11692,60.00元,绿茶,https://www.zuipin.cn/goods?id=8701410,150克,60.00元
老同志,普洱茶,"规格：250g/盒,产地：云南勐海,生产年份：2017年,食品生产许可证：SC11453018137408,储藏方法：在清洁、通风、避光、无异味的地方保存,保质期：长期,包装规格：长15.9*宽11*高3cm",老同志 日常口粮茶,8699575,老同志普洱茶 2017年 熟茶 为天下人做好茶普洱茶砖 250g/砖,3274,205.00元,黑茶,https://www.zuipin.cn/goods?id=8699575,250克,205.00元
老同志,普洱茶,"规格：400g/饼,产地：云南勐海,生产年份：2016年,食品生产许可证：SC11453018137408,储藏方法：在清洁、通风、避光、无异味的地方适宜长期保存,保质期：长期",古树茶 原料好更好喝,8699572,老同志普洱茶 2016年 熟茶 冬雪饼 400g/饼,3271,418.00元,黑茶,https://www.zuipin.cn/goods?id=8699572,400克,418.00元
傣园普香,普洱茶,"产地：云南勐海,生产年份：2017年,食品生产许可证：SC11453282213885,储藏方法：在通风、阴凉、干燥、避光的环境,保质期：在适宜的条件下长期储存,原料年份：2017年",脂肪“净化器”常喝不腻,8699651,傣园普香 普洱茶 2017年 熟茶 班章 250g/砖 黑茶,3310,420.00元,黑茶,https://www.zuipin.cn/goods?id=8699651,250克,420.00元
芸茗,普洱茶,"产地：云南·勐腊,食品生产许可证：SC11453282217223,储藏方法：清洁、通风、避光、干燥、无异味、无污染,保质期：符合贮存条件下适合长期保存,原料年份：2013年3月",不浓烈苦涩，适宜初尝者自饮品鉴,8699439,芸茗普洱茶 易武 2013 生茶 357g/饼,3207,368.00元,黑茶,https://www.zuipin.cn/goods?id=8699439,357克,368.00元
傣园普香,普洱茶,"产地：云南勐海,生产年份：2017年,食品生产许可证：SC11453282213885,储藏方法：在通风、阴凉、干燥、避光的环境,保质期：在适宜的条件下长期储存,原料年份：2017年",口粮级乔木茶,8699660,傣园普香 普洱茶 2017年 生茶 布朗山 357g/饼 黑茶,3319,174.00元,黑茶,https://www.zuipin.cn/goods?id=8699660,357克,174.00元
行吉,普洱茶,"规格：100g/饼/盒,产地：云南临沧,生产年份：2017年8月,食品生产许可证：SC11453012417797,储藏方法：通风、无异味、避免阳关直射,保质期：在符合产品标准的贮存条件下，适宜长期保存,包装规格：长11.5cm*宽11.5cm*高2.8cm,原料年份：2017年",陈香明显，香气纯正，茶水无握堆味,6931246260051,行吉 普洱茶 2017年 行吉迷你茶饼（熟茶）100g/饼,12316,59.00元,黑茶,https://www.zuipin.cn/goods?id=6931246260051,100克,59.00元
老同志,普洱茶,"规格：357g/饼,产地：云南勐海,生产年份：2017年,食品生产许可证：SC11453018137408,储藏方法：在清洁、通风、避光、无异味的地方保存,保质期：长期",发酵充足 呵护肠胃,8699574,老同志普洱茶 2017年 熟茶 为天下人做好茶 357g/饼,3273,280.00元,黑茶,https://www.zuipin.cn/goods?id=8699574,357克,280.00元
老同志,普洱茶,"规格：357g/饼,产地：云南省安宁市,生产年份：2010年5月,食品生产许可证：SC11453018137408,储藏方法：清洁、通风、避光、干燥、无异味、无污染的环境,保质期：长期存放",珍藏8年 时间沉淀的古董,8699701,【老茶】老同志普洱茶 2010年 熟 海湾陈韵 357g/饼,3328,390.00元,黑茶,https://www.zuipin.cn/goods?id=8699701,357克,390.00元
祖祥号,普洱茶,"规格：357g/饼,产地：云南勐海,生产年份：2013年11月,食品生产许可证：SC11453080225999,储藏方法：通风、清洁、干燥、避光、无异味的库房内,保质期：在符合储存条件下适宜长期保存,包装规格：长20.8cm*宽20.8cm*高2.7cm",无农残 安心茶,8699642,祖祥普洱茶 2013年 熟茶 祖祥号普洱茶 357g/饼,3309,240.00元,黑茶,https://www.zuipin.cn/goods?id=8699642,357克,240.00元
普秀,普洱茶,"规格：250g/盒,产地：云南省普洱市,生产年份：2013年3月,食品生产许可证：SC11453082103690,储藏方法：清洁、通风、避光、干燥、无异味无污染,保质期：越陈越香,等级：一级",厂家已断货,8699759,【老茶】普秀 普洱茶 2013 熟茶 佳得普坨 250g/盒 黑茶,3365,128.00元,黑茶,https://www.zuipin.cn/goods?id=8699759,250克,128.00元
龙润,普洱茶,"规格：250g/砖,产地：云南省临沧市,生产年份：2016年11月,食品生产许可证：SC10653092209367,储藏方法：清洁、通风、避光、干燥、无污染的环境,保质期：在符合贮存条件下，适宜长期保存,等级：一级,原料年份：2016年",国宾礼品茶 30年技艺沉淀,8703539,龙润茶 普洱茶 2016年 熟茶 实惠口粮茶 江城 250g/砖,11835,118.00元,黑茶,https://www.zuipin.cn/goods?id=8703539,250克,118.00元
普秀,普洱茶,"产地：普洱市,生产年份：2017年,食品生产许可证：SC11453082103690,保质期：在符合条件下长期储存,等级：一级",清雍正 御用茶,8699733,普秀 普洱茶 2017 生茶 和隋珍品 357g/饼 黑茶,3364,95.00元,黑茶,https://www.zuipin.cn/goods?id=8699733,357克,95.00元
祖祥号,普洱茶,"规格：357g/饼,产地：云南勐海,生产年份：1905年7月,食品生产许可证：SC11453080225999,储藏方法：通风、清洁、干燥、避光、无异味的库房内,保质期：在符合储存条件下适宜长期保存,包装规格：长20.8cm*宽20.8cm*高2.7cm",喝茶就要 无农残,8699641,【老茶】祖祥普洱茶 2010年 熟茶 宫廷普洱 357g/饼,3308,320.00元,黑茶,https://www.zuipin.cn/goods?id=8699641,357克,320.00元
老同志,普洱茶,"规格：357g/饼,产地：云南省安宁市,生产年份：2011年1月,食品生产许可证：SC11453018137408,储藏方法：清洁、通风、避光、干燥、无异味、无污染的环境,保质期：在适宜的条件下长期储存",7年老茶 越喝越醇香,8699702,【老茶】老同志普洱茶 2011年 熟 海湾 357g/饼,3329,335.00元,黑茶,https://www.zuipin.cn/goods?id=8699702,357克,335.00元
老同志,普洱茶,"规格：357g/饼,产地：云南省安宁市,食品生产许可证：SC11453018137408,储藏方法：清洁、通风、避光、干燥、无异味、无污染的环境,保质期：在适宜的条件下长期储存",6年老茶 更温和暖胃,8699700,【老茶】老同志普洱茶 2012年 熟茶 高山乔木茶饼 357g/饼,3327,408.00元,黑茶,https://www.zuipin.cn/goods?id=8699700,357克,408.00元
芸茗,普洱茶,"规格：357g/饼,产地：云南·勐腊,食品生产许可证：SC11453282217223,储藏方法：清洁、通风、避光、干燥、无异味、无污染,保质期：在适宜条件下长期储存,原料年份：2013年3月",易武甜茶代表  入口淡雅甜柔 初尝普洱推荐,8699401,芸茗普洱茶 弯弓 2013年 生茶 357g/饼,3191,520.00元,黑茶,https://www.zuipin.cn/goods?id=8699401,357克,520.00元
芸茗,普洱茶,"规格：357g/饼,产地：云南·勐腊,食品生产许可证：SC11453282217223,储藏方法：清洁、通风、避光、干燥、无异味、无污染,保质期：在适宜条件下长期储存,原料年份：2013年3月",饭后常喝普洱不油腻,8699402,芸茗普洱茶 刮风寨 2013年 生茶 357g/饼,3192,680.00元,黑茶,https://www.zuipin.cn/goods?id=8699402,357克,680.00元
芸茗,普洱茶,"产地：云南·勐腊,食品生产许可证：SC11453282217223,储藏方法：清洁、通风、避光、干燥、无异味、无污染,保质期：符合贮存条件下适合长期保存,原料年份：2012年8月",5年老茶 陈的刚刚好 自饮推荐,8699443,芸茗普洱茶 易武 2012 熟茶357g/饼,3211,368.00元,黑茶,https://www.zuipin.cn/goods?id=8699443,357克,368.00元
中茶,普洱茶,"产地：云南昆明,食品生产许可证：SC11453011102246,储藏方法：阴凉、通风、干燥、无异味环境下,保质期：在适宜条件下长期储存,原料年份：2006年",中茶年代代表作  中期普洱 收藏潜力股,8685219,中茶普洱茶 2006年 生茶 大叶青饼 380g/饼,3155,438.00元,黑茶,https://www.zuipin.cn/goods?id=8685219,380克,438.00元
高家山,安化黑茶,"产地：湖南安化,生产年份：2016年,食品生产许可证：SC11443092300088,储藏方法：在通风、干燥、无毒、无异味的条件下保存,保质期：在符合存储条件下可长期保存,等级：二级,原料年份：2016年",随手礼 赠品饮佳品,8703120,【高家山】安化黑茶 2016年 二级 守艺 千两茶 700g/饼,11515,550.00元,黑茶,https://www.zuipin.cn/goods?id=8703120,700克,550.00元
高家山,安化黑茶,"规格：500g/盒,产地：湖南安化县,生产年份：2017年7月,食品生产许可证：SC11443092300088,储藏方法：在通风、干燥、无毒、无异味的条件下保存,保质期：在符合存放条件下可长期储存,等级：一级,包装规格：长24.5cm*宽17.5cm*高6.3cm,原料年份：2017年",包装简洁，礼赠收藏佳品,8703693,高家山 安化黑茶 春山天尖黑砖 2017年 500g,12166,666.00元,黑茶,https://www.zuipin.cn/goods?id=8703693,500克,666.00元
白沙溪,安化黑茶,"规格：35颗/层*2,产地：湖南安化,生产年份：2018年7月,食品生产许可证：SC11443092300115,储藏方法：通风、清洁、干燥无异味保存，品质更佳,保质期：长期保存,等级：特级,包装规格：长:37.6cm*宽:24.9cm*高:6.6cm",沉默在时光深处的孤独艺术,6931246262003,白沙溪安化黑茶  馆藏千两小金砖 2018年530g,12499,668.00元,黑茶,https://www.zuipin.cn/goods?id=6931246262003,530克,668.00元
中茶,安化黑茶,"规格：1000g/盒,产地：湖南安化,生产年份：2018年7月,食品生产许可证：SC11443092300238,储藏方法：清洁干燥、无异味、无污染、无毒害的环境中,保质期：长期保存,等级：一级,包装规格：长17.5cm*宽26.5cm*高5cm,原料年份：2015年",三年陈原料，大师手筑茶,6931246262008,中茶百年木仓 安化黑茶 2015年中国梦平安福手筑茯砖茶 1000g,12721,668.00元,黑茶,https://www.zuipin.cn/goods?id=6931246262008,1000克,668.00元
高家山,安化黑茶,"规格：700g/饼,产地：湖南安化县,生产年份：2016年11月,食品生产许可证：SC11443092300088,储藏方法：在通风、干燥、无毒、无异味的条件下保存,保质期：在符合存放条件下可长期储存,原料年份：2016年",传统千两茶工艺，上海斗茶大赛金奖品质,8703697,高家山 安化黑茶 粗枝大叶 野荒千两饼 2016年 700g,12169,780.00元,黑茶,https://www.zuipin.cn/goods?id=8703697,700克,780.00元
